V2_Gene	baseMean	DESeq_log2FC	lfcSE	pvalue	adj_pvalue	IHW_pvalue	LBS6R1.1	LBS6R1.2	LBS6R1.3	LBS6R1.4	LBS4.4	LBS4.5	LBS4.6	LBS4.7	LBS6R1_Mean	LBS4_Mean	log2FC
H2scaf32-aug14735	3363.393722	-8.088051462	0.163666232	0	0	0	6512.793155	7307.098774	6471.435304	6539.54	21.87270134	23.29742481	9.19322431	21.91898134	6707.716862	19.07058295	-8.458329038
H2scaf59-aug14218	2517.925903	-6.077572765	0.128054438	0	0	0	4987.66453	5507.130013	4887.125392	4498.031338	56.24408916	80.64493203	56.99799072	69.56894078	4969.987818	65.86398817	-6.237608633
H2scaf22-aug5901	3471.952668	-4.688060119	0.094032653	0	0	0	7121.634985	6396.689864	6486.457206	6776.690834	233.3088143	249.1032345	286.8285985	224.9078086	6695.368222	248.537114	-4.751630191
H2scaf46-aug11286	851.9534931	-5.354824908	0.143815209	1.92e-303	9.83e-300	1.81e-303	1691.45131	1788.055012	1618.359556	1573.919446	33.32983061	45.69879482	25.74102807	39.07296674	1667.946331	35.96065506	-5.535509757
H2scaf2208-aug25591	1251.776552	-7.809168311	0.213497024	6.54e-293	2.48e-289	5.72e-293	2413.190963	2633.93112	2427.539334	2513.572846	2.083114413	8.064493203	10.11254674	5.717995133	2497.058566	6.494537372	-8.586787182
H2scaf10-aug11725	1222.189611	-7.869279822	0.224791001	1.75e-268	4.16e-265	1.54e-268	2291.220994	2436.361466	2742.999272	2284.252671	4.166228827	5.376328802	5.515934586	7.62399351	2438.708601	5.670621431	-8.748394821
H2scaf117-aug20790	7355.282649	-3.765764284	0.108616175	2.2e-263	4.44e-260	1.84e-263	13253.39799	16216.59665	12797.65889	12714.40542	1107.175311	954.2983623	899.0973375	899.6312342	13745.51474	965.0505612	-3.832212593
H2scaf32-aug14803	674.7480205	-4.447907235	0.13299457	3.12e-245	5.47e-242	2.78e-245	1310.421158	1399.86539	1287.877716	1182.397196	47.91163151	65.41200042	45.96612155	58.13295052	1295.140365	54.355676	-4.574533959
H2scaf110-aug21040	742.9691447	-6.090857796	0.1831499	1.66e-242	2.68e-239	1.48e-242	1596.69778	1593.463795	1321.92736	1364.734701	13.54024369	23.29742481	11.03186917	19.05998378	1469.205909	16.73238036	-6.456250095
H2scaf32-aug14775	838.1513676	-7.444310374	0.229908964	5.36e-230	7.39e-227	4.77e-230	1757.980384	1669.910345	1511.203323	1745.070601	5.207786033	3.584219201	3.677289724	8.576992699	1671.041163	5.261571914	-8.311037682
H2scaf1197-aug25017	504.9044259	-5.672759486	0.178273773	3.37e-222	4.96e-219	3.66e-222	967.6956243	1012.66858	1003.463042	992.2292456	22.91425855	18.81715081	12.87051403	8.576992699	994.0141229	15.79472902	-5.975751258
H2scaf16-aug1563	8237.325835	-2.851756454	0.092892947	5.8e-207	6.6e-204	5.48e-207	14186.82106	12830.11378	14545.2068	16496.51035	1957.085991	2107.52089	1937.012362	1838.335435	14514.663	1959.98867	-2.888593856
H2scaf51-aug12660	3381.598273	-4.867348644	0.162907785	3.81e-196	3.05e-193	2.67e-196	6316.229981	7151.227237	6414.352077	6389.643124	249.9737296	241.9347961	137.8983646	151.526871	6567.863105	195.3334403	-5.071413198
H2scaf83-aug18579	1209.332309	-3.30421215	0.113154811	1.89e-187	1.85e-184	1.79e-187	2228.723985	1938.962487	2084.038512	2569.504596	202.0620981	231.1821385	210.5248367	209.6598215	2205.307395	213.3572237	-3.369636903
H2scaf10-aug11724	509.2677247	-3.039993181	0.11274092	3.87e-160	2.96e-157	3.68e-160	884.0302734	925.3010947	927.3520723	912.8061605	90.61547698	126.3437268	105.7220796	101.9709132	912.3724003	106.1630491	-3.103341092
